room_code,room_name,capacity,room_type,room_size_category,available
A201,Phòng lý thuyết A201,60,THEORY_ROOM,STANDARD,true
A202,Phòng lý thuyết A202,60,THEORY_ROOM,STANDARD,true
A203,Phòng lý thuyết A203,60,THEORY_ROOM,STANDARD,true
A301,Phòng lý thuyết A301,60,THEORY_ROOM,STANDARD,true
A302,Phòng lý thuyết A302,60,THEORY_ROOM,STANDARD,true
A303,Phòng lý thuyết A303,60,THEORY_ROOM,STANDARD,true
A401,Phòng lý thuyết A401,60,THEORY_ROOM,STANDARD,true
A402,Phòng lý thuyết A402,60,THEORY_ROOM,STANDARD,true
A403,Phòng lý thuyết A403,60,THEORY_ROOM,STANDARD,true
A501,Phòng lý thuyết A501,60,THEORY_ROOM,STANDARD,true
A502,Phòng lý thuyết A502,60,THEORY_ROOM,STANDARD,true
A503,Phòng lý thuyết A503,60,THEORY_ROOM,STANDARD,true
A601,Phòng lý thuyết A601,60,THEORY_ROOM,STANDARD,true
A602,Phòng lý thuyết A602,60,THEORY_ROOM,STANDARD,true
A603,Phòng lý thuyết A603,60,THEORY_ROOM,STANDARD,true
H01,Giảng đường lớn H01,130,THEORY_ROOM,LARGE_HALL,true
H02,Giảng đường lớn H02,130,THEORY_ROOM,LARGE_HALL,true
H03,Giảng đường lớn H03,130,THEORY_ROOM,LARGE_HALL,true
H04,Giảng đường lớn H04,130,THEORY_ROOM,LARGE_HALL,true
LAB301,Phòng máy LAB301,50,COMPUTER_LAB,STANDARD,true
LAB302,Phòng máy LAB302,50,COMPUTER_LAB,STANDARD,true
LAB303,Phòng máy LAB303,50,COMPUTER_LAB,STANDARD,true
LAB401,Phòng máy LAB401,50,COMPUTER_LAB,STANDARD,true
LAB402,Phòng máy LAB402,50,COMPUTER_LAB,STANDARD,true
LAB403,Phòng máy LAB403,50,COMPUTER_LAB,STANDARD,true
LAB501,Phòng máy LAB501,50,COMPUTER_LAB,STANDARD,true
LAB502,Phòng máy LAB502,50,COMPUTER_LAB,STANDARD,true
LAB503,Phòng máy LAB503,50,COMPUTER_LAB,STANDARD,true
SP01,Phòng thực hành chuyên ngành SP01,45,SPECIALIZED_LAB,STANDARD,true
SP02,Phòng thực hành chuyên ngành SP02,45,SPECIALIZED_LAB,STANDARD,true
SP03,Phòng thực hành chuyên ngành SP03,45,SPECIALIZED_LAB,STANDARD,true
