slot_code,day_of_week,start_period,end_period,session_type,supports_course_types,active
MON_1_3,2,1,3,SANG,THEORY,true
MON_4_6,2,4,6,SANG,THEORY,true
MON_7_9,2,7,9,CHIEU,THEORY,true
MON_10_12,2,10,12,CHIEU,THEORY,true
MON_13_15,2,13,15,TOI,THEORY,true
MON_1_5,2,1,5,SANG,PRACTICE|INTEGRATED,true
MON_1_6,2,1,6,SANG,PRACTICE|INTEGRATED,true
MON_2_6,2,2,6,SANG,PRACTICE|INTEGRATED,true
TUE_1_3,3,1,3,SANG,THEORY,true
TUE_4_6,3,4,6,SANG,THEORY,true
TUE_7_9,3,7,9,CHIEU,THEORY,true
TUE_10_12,3,10,12,CHIEU,THEORY,true
TUE_13_15,3,13,15,TOI,THEORY,true
TUE_1_5,3,1,5,SANG,PRACTICE|INTEGRATED,true
TUE_1_6,3,1,6,SANG,PRACTICE|INTEGRATED,true
TUE_2_6,3,2,6,SANG,PRACTICE|INTEGRATED,true
WED_1_3,4,1,3,SANG,THEORY,true
WED_4_6,4,4,6,SANG,THEORY,true
WED_7_9,4,7,9,CHIEU,THEORY,true
WED_10_12,4,10,12,CHIEU,THEORY,true
WED_13_15,4,13,15,TOI,THEORY,true
WED_1_5,4,1,5,SANG,PRACTICE|INTEGRATED,true
WED_1_6,4,1,6,SANG,PRACTICE|INTEGRATED,true
WED_2_6,4,2,6,SANG,PRACTICE|INTEGRATED,true
THU_1_3,5,1,3,SANG,THEORY,true
THU_4_6,5,4,6,SANG,THEORY,true
THU_7_9,5,7,9,CHIEU,THEORY,true
THU_10_12,5,10,12,CHIEU,THEORY,true
THU_13_15,5,13,15,TOI,THEORY,true
THU_1_5,5,1,5,SANG,PRACTICE|INTEGRATED,true
THU_1_6,5,1,6,SANG,PRACTICE|INTEGRATED,true
THU_2_6,5,2,6,SANG,PRACTICE|INTEGRATED,true
FRI_1_3,6,1,3,SANG,THEORY,true
FRI_4_6,6,4,6,SANG,THEORY,true
FRI_7_9,6,7,9,CHIEU,THEORY,true
FRI_10_12,6,10,12,CHIEU,THEORY,true
FRI_13_15,6,13,15,TOI,THEORY,true
FRI_1_5,6,1,5,SANG,PRACTICE|INTEGRATED,true
FRI_1_6,6,1,6,SANG,PRACTICE|INTEGRATED,true
FRI_2_6,6,2,6,SANG,PRACTICE|INTEGRATED,true
SAT_1_3,7,1,3,SANG,THEORY,true
SAT_4_6,7,4,6,SANG,THEORY,true
SAT_7_9,7,7,9,CHIEU,THEORY,true
SAT_10_12,7,10,12,CHIEU,THEORY,true
SAT_13_15,7,13,15,TOI,THEORY,true
SAT_1_5,7,1,5,SANG,PRACTICE|INTEGRATED,true
SAT_1_6,7,1,6,SANG,PRACTICE|INTEGRATED,true
SAT_2_6,7,2,6,SANG,PRACTICE|INTEGRATED,true
SUN_1_3,8,1,3,SANG,THEORY,true
SUN_4_6,8,4,6,SANG,THEORY,true
SUN_7_9,8,7,9,CHIEU,THEORY,true
SUN_10_12,8,10,12,CHIEU,THEORY,true
SUN_13_15,8,13,15,TOI,THEORY,true
SUN_1_5,8,1,5,SANG,PRACTICE|INTEGRATED,true
SUN_1_6,8,1,6,SANG,PRACTICE|INTEGRATED,true
SUN_2_6,8,2,6,SANG,PRACTICE|INTEGRATED,true
