date,academic_week,day_of_week,is_teaching_day,is_holiday,holiday_name,note
2026-09-01,1,3,true,false,,
2026-09-07,2,2,true,false,,
2026-09-08,2,3,true,false,,
2026-09-10,2,5,true,false,,
2026-09-11,2,6,true,false,,
2026-09-12,2,7,true,false,,
2026-09-13,2,8,true,false,,
2026-09-14,3,2,false,true,Ngày nghỉ học kỳ,Không sinh buổi học bình thường
2026-09-15,3,3,true,false,,
2026-09-17,3,5,true,false,,
2026-09-18,3,6,true,false,,
2026-09-19,3,7,true,false,,
2026-09-20,3,8,true,false,,
2026-09-21,4,2,true,false,,
2026-12-14,16,2,true,false,,
2026-12-15,16,3,true,false,,
2026-12-16,16,4,true,false,,
2026-12-17,16,5,true,false,,
2026-12-18,16,6,true,false,,
2026-12-19,16,7,true,false,,
2026-12-20,16,8,true,false,,
2026-12-21,17,2,true,false,,
2026-12-22,17,3,true,false,,
2026-12-23,17,4,true,false,,
2026-12-24,17,5,true,false,,
2026-12-25,17,6,true,false,,
2026-12-26,17,7,true,false,,
2026-12-27,17,8,true,false,,
2026-12-28,18,2,true,false,,
2026-12-29,18,3,true,false,,
2026-12-30,18,4,true,false,,
2026-12-31,18,5,true,false,,
2027-01-01,18,6,true,false,,
2027-01-02,18,7,true,false,,
2027-01-03,18,8,true,false,,
